frame	time	Max Temp	units
203	2022-08-10 10:57:36.487000	1.532376e+02	C
204	2022-08-10 10:57:36.520000	1.542877e+02	C
205	2022-08-10 10:57:36.553000	1.491695e+02	C
206	2022-08-10 10:57:36.587000	1.546368e+02	C
207	2022-08-10 10:57:36.620000	1.633775e+02	C
208	2022-08-10 10:57:36.653000	1.462981e+02	C
209	2022-08-10 10:57:36.687000	1.443034e+02	C
210	2022-08-10 10:57:36.720000	1.479175e+02	C
211	2022-08-10 10:57:36.753000	1.430250e+02	C
212	2022-08-10 10:57:36.787000	1.475586e+02	C
213	2022-08-10 10:57:36.820000	1.527108e+02	C
214	2022-08-10 10:57:36.853000	1.521829e+02	C
215	2022-08-10 10:57:36.887000	1.486337e+02	C
216	2022-08-10 10:57:36.920000	1.480968e+02	C
217	2022-08-10 10:57:36.953000	1.468391e+02	C
218	2022-08-10 10:57:36.987000	1.521829e+02	C
219	2022-08-10 10:57:37.020000	1.495260e+02	C
220	2022-08-10 10:57:37.053000	1.495260e+02	C
221	2022-08-10 10:57:37.087000	1.546368e+02	C
222	2022-08-10 10:57:37.120000	1.546368e+02	C
223	2022-08-10 10:57:37.153000	1.513005e+02	C
224	2022-08-10 10:57:37.186000	1.539382e+02	C
225	2022-08-10 10:57:37.220000	1.489910e+02	C
226	2022-08-10 10:57:37.253000	1.567208e+02	C
227	2022-08-10 10:57:37.287000	1.606675e+02	C
228	2022-08-10 10:57:37.320000	1.549854e+02	C
229	2022-08-10 10:57:37.353000	1.530621e+02	C
230	2022-08-10 10:57:37.386000	1.511237e+02	C
231	2022-08-10 10:57:37.420000	1.495260e+02	C
232	2022-08-10 10:57:37.453000	1.480968e+02	C
233	2022-08-10 10:57:37.486000	1.468391e+02	C
234	2022-08-10 10:57:37.520000	1.520067e+02	C
235	2022-08-10 10:57:37.553000	1.507695e+02	C
236	2022-08-10 10:57:37.586000	1.530621e+02	C
237	2022-08-10 10:57:37.620000	1.505923e+02	C
238	2022-08-10 10:57:37.653000	1.553334e+02	C
239	2022-08-10 10:57:37.686000	1.570665e+02	C
240	2022-08-10 10:57:37.720000	1.514773e+02	C
241	2022-08-10 10:57:37.753000	1.549854e+02	C
242	2022-08-10 10:57:37.786000	1.415553e+02	C
243	2022-08-10 10:57:37.820000	1.497040e+02	C
244	2022-08-10 10:57:37.853000	1.500597e+02	C
245	2022-08-10 10:57:37.886000	1.479175e+02	C
246	2022-08-10 10:57:37.920000	1.521829e+02	C
247	2022-08-10 10:57:37.953000	1.521829e+02	C
248	2022-08-10 10:57:37.986000	1.577564e+02	C
249	2022-08-10 10:57:38.020000	1.563747e+02	C
250	2022-08-10 10:57:38.053000	1.640506e+02	C
251	2022-08-10 10:57:38.086000	1.527108e+02	C
252	2022-08-10 10:57:38.120000	1.596438e+02	C
253	2022-08-10 10:57:38.153000	1.575841e+02	C
254	2022-08-10 10:57:38.186000	1.525350e+02	C
255	2022-08-10 10:57:38.220000	1.544623e+02	C
256	2022-08-10 10:57:38.253000	1.574117e+02	C
257	2022-08-10 10:57:38.286000	1.542877e+02	C
258	2022-08-10 10:57:38.320000	1.498819e+02	C
259	2022-08-10 10:57:38.353000	1.594728e+02	C
260	2022-08-10 10:57:38.386000	1.556810e+02	C
261	2022-08-10 10:57:38.420000	1.549854e+02	C
262	2022-08-10 10:57:38.453000	1.643864e+02	C
263	2022-08-10 10:57:38.486000	1.532376e+02	C
264	2022-08-10 10:57:38.520000	1.516539e+02	C
265	2022-08-10 10:57:38.553000	1.611778e+02	C
266	2022-08-10 10:57:38.586000	1.581006e+02	C
267	2022-08-10 10:57:38.620000	1.549854e+02	C
268	2022-08-10 10:57:38.653000	1.542877e+02	C
269	2022-08-10 10:57:38.686000	1.534129e+02	C
270	2022-08-10 10:57:38.720000	1.489910e+02	C
271	2022-08-10 10:57:38.753000	1.498819e+02	C
272	2022-08-10 10:57:38.786000	1.570665e+02	C
273	2022-08-10 10:57:38.820000	1.537632e+02	C
274	2022-08-10 10:57:38.853000	1.507695e+02	C
275	2022-08-10 10:57:38.886000	1.570665e+02	C
276	2022-08-10 10:57:38.920000	1.513005e+02	C
